year,Global nuclear arsenals
1945,2
1946,9
1947,13
1948,50
1949,171
1950,304
1951,463
1952,891
1953,1290
1954,1858
1955,2632
1956,4168
1957,6261
1958,8268
1959,13424
1960,20370
1961,24876
1962,29097
1963,32648
1964,34981
1965,37591
1966,38603
1967,40073
1968,39443
1969,38621
1970,38238
1971,39677
1972,41752
1973,44494
1974,46655
1975,47642
1976,48993
1977,50755
1978,51538
1979,53355
1980,55755
1981,56371
1982,57282
1983,59350
1984,61174
1985,62924
1986,64449
1987,62726
1988,60780
1989,58336
1990,55512
1991,49342
1992,41524
1993,36983
1994,33374
1995,30114
1996,27904
1997,27296
1998,26095
1999,24881
2000,23846
2001,22655
2002,21561
2003,20106
2004,17624
2005,16387
2006,15479
2007,12995
2008,12172
2009,11635
2010,11180
2011,10656
2012,10235
2013,10215
2014,10145