year,Global nuclear arsenals,Nuclear States
1945,2,1
1946,9,1
1947,13,1
1948,50,1
1949,171,2
1950,304,2
1951,463,2
1952,891,3
1953,1290,3
1954,1858,3
1955,2632,3
1956,4168,3
1957,6261,3
1958,8268,3
1959,13424,3
1960,20370,4
1961,24876,4
1962,29097,4
1963,32648,4
1964,34981,5
1965,37591,5
1966,38603,5
1967,40073,6
1968,39443,6
1969,38621,6
1970,38238,6
1971,39677,6
1972,41752,6
1973,44494,6
1974,46655,7
1975,47642,7
1976,48993,7
1977,50755,7
1978,51538,7
1979,53355,7
1980,55755,7
1981,56371,7
1982,57282,7
1983,59350,7
1984,61174,7
1985,62924,7
1986,64449,7
1987,62726,7
1988,60780,7
1989,58336,7
1990,55512,7
1991,49342,7
1992,41524,7
1993,36983,7
1994,33374,7
1995,30114,7
1996,27904,7
1997,27296,7
1998,26095,8
1999,24881,8
2000,23846,8
2001,22655,8
2002,21561,8
2003,20106,8
2004,17624,8
2005,16387,8
2006,15479,9
2007,12995,9
2008,12172,9
2009,11635,9
2010,11180,9
2011,10656,9
2012,10235,9
2013,10215,9
2014,10145,9